,YEAR WON,SPORT,LEVEL,GENDER,DIVISION,WINNER
0,1912-13,,Sr. Varsity,Boys,Div I,Mount Royal College
1,,,,,,
2,1913-14,Football,Sr. Varsity,Boys,Div I,Mount Royal College
3,,,,,,
4,1914-15,Football,Sr. Varsity,Boys,Div I,Central Collegiate Institute
5,,,,,,
6,1915-16,Football,Sr. Varsity,Boys,Div I,Not Awarded
7,,,,,,
8,1916-17,Football,Sr. Varsity,Boys,Div I,Not Awarded
9,,,,,,
10,1917-18,Football,Sr. Varsity,Boys,Div I,Not Awarded
11,,,,,,
12,1918-19,Football,Sr. Varsity,Boys,Div I,Not Awarded
13,,,,,,
14,1919-20,Football,Sr. Varsity,Boys,Div I,Not Awarded
15,,,,,,
16,1920-21,Football,Jr. Varsity,Boys,Div I,Central Collegiate Institute
17,,,Sr. Varsity,Boys,Div I,South Calgary High School
18,,,,,,
19,1921-22,Football,Jr. Varsity,Boys,Div I,Central Collegiate Institute
20,,,Sr. Varsity,Boys,Div I,South Calgary High School
21,,,,,,
22,1922-23,Football,Jr. Varsity,Boys,Div I,Crescent Heights
23,,,Sr. Varsity,Boys,Div I,Central Collegiate Institute
24,,,,,,
25,1923-24,Football,Jr. Varsity,Boys,Div I,Central Collegiate Institute
26,,,Sr. Varsity,Boys,Div I,Central Collegiate Institute
27,,,,,,
28,1924-25,Football,Jr. Varsity,Boys,Div I,Crescent Heights
29,,,Sr. Varsity,Boys,Div I,Central Collegiate Institute
30,,,,,,
31,1925-26,Football,Jr. Varsity,Boys,Div I,Crescent Heights
32,,,Sr. Varsity,Boys,Div I,Central Collegiate Institute
33,,,,,,
34,1926-27,Football,Jr. Varsity,Boys,Div I,East Calgary High
35,,,Sr. Varsity,Boys,Div I,Central Collegiate Institute
36,,,,,,
37,1927-28,Football,Jr. Varsity,Boys,Div I,Not Awarded
38,,,Sr. Varsity,Boys,Div I,South Calgary High School
39,,,,,,
40,1928-29,Football,Jr. Varsity,Boys,Div I,Crescent Heights
41,,,Sr. Varsity,Boys,Div I,South Calgary High School
42,,,,,,
43,1929-30,Football,Jr. Varsity,Boys,Div I,St. Mary's College
44,,,Sr. Varsity,Boys,Div I,Central Collegiate Institute
45,,,,,,
46,1930-31,Football,Jr. Varsity,Boys,Div I,Western Canada
47,,,Sr. Varsity,Boys,Div I,Western Canada
48,,,,,,
49,1931-32,Football,Jr. Varsity,Boys,Div I,Western Canada
