,YEAR WON,SPORT,LEVEL,GENDER,DIVISION,WINNER
1,1913-14,Football,Sr. Varsity,Boys,Div I,Mount Royal College
2,1914-15,Football,Sr. Varsity,Boys,Div I,Central Collegiate Institute
3,1915-16,Football,Sr. Varsity,Boys,Div I,Not Awarded
4,1916-17,Football,Sr. Varsity,Boys,Div I,Not Awarded
5,1917-18,Football,Sr. Varsity,Boys,Div I,Not Awarded
6,1918-19,Football,Sr. Varsity,Boys,Div I,Not Awarded
7,1919-20,Football,Sr. Varsity,Boys,Div I,Not Awarded
8,1920-21,Football,Jr. Varsity,Boys,Div I,Central Collegiate Institute
9,1920-21,Football,Sr. Varsity,Boys,Div I,South Calgary High School
10,1921-22,Football,Jr. Varsity,Boys,Div I,Central Collegiate Institute
11,1921-22,Football,Sr. Varsity,Boys,Div I,South Calgary High School
12,1922-23,Football,Jr. Varsity,Boys,Div I,Crescent Heights
13,1922-23,Football,Sr. Varsity,Boys,Div I,Central Collegiate Institute
14,1923-24,Football,Jr. Varsity,Boys,Div I,Central Collegiate Institute
15,1923-24,Football,Sr. Varsity,Boys,Div I,Central Collegiate Institute
16,1924-25,Football,Jr. Varsity,Boys,Div I,Crescent Heights
17,1924-25,Football,Sr. Varsity,Boys,Div I,Central Collegiate Institute
18,1925-26,Football,Jr. Varsity,Boys,Div I,Crescent Heights
19,1925-26,Football,Sr. Varsity,Boys,Div I,Central Collegiate Institute
20,1926-27,Football,Jr. Varsity,Boys,Div I,East Calgary High
21,1926-27,Football,Sr. Varsity,Boys,Div I,Central Collegiate Institute
22,1927-28,Football,Jr. Varsity,Boys,Div I,Not Awarded
23,1927-28,Football,Sr. Varsity,Boys,Div I,South Calgary High School
24,1928-29,Football,Jr. Varsity,Boys,Div I,Crescent Heights
25,1928-29,Football,Sr. Varsity,Boys,Div I,South Calgary High School
26,1929-30,Football,Jr. Varsity,Boys,Div I,St. Mary's College
27,1929-30,Football,Sr. Varsity,Boys,Div I,Central Collegiate Institute
28,1930-31,Football,Jr. Varsity,Boys,Div I,Western Canada
29,1930-31,Football,Sr. Varsity,Boys,Div I,Western Canada
30,1931-32,Football,Jr. Varsity,Boys,Div I,Western Canada
31,1931-32,Football,Sr. Varsity,Boys,Div I,Central Collegiate Institute
32,1932-33,Basketball,Sr. Varsity,Boys,Div I,Crescent Heights
33,1932-33,Football,Jr. Varsity,Boys,Div I,Not Awarded
34,1932-33,Football,Sr. Varsity,Boys,Div I,Commercial High School
35,1933-34,Basketball,Sr. Varsity,Boys,Div I,Crescent Heights
36,1933-34,Football,Jr. Varsity,Boys,Div I,St. Mary's College
37,1933-34,Football,Sr. Varsity,Boys,Div I,Central Collegiate Institute
38,1934-35,Basketball,Sr. Varsity,Boys,Div I,Western Canada
39,1934-35,Football,Jr. Varsity,Boys,Div I,Crescent Heights
40,1934-35,Football,Sr. Varsity,Boys,Div I,Crescent Heights
41,1935-36,Basketball,Jr. Varsity,Boys,Div I,East Calgary
42,1935-36,Basketball,Sr. Varsity,Boys,Div I,East Calgary
43,1935-36,Football,Jr. Varsity,Boys,Div I,Not Awarded
44,1935-36,Football,Sr. Varsity,Boys,Div I,"Central Collegiate Institute 
and Western Canada"
45,1936-37,Basketball,Jr. Varsity,Boys,Div I,Western Canada
46,1936-37,Basketball,Sr. Varsity,Boys,Div I,Western Canada
47,1936-37,Football,Jr. Varsity,Boys,Div I,Crescent Heights
48,1936-37,Football,Sr. Varsity,Boys,Div I,Central Collegiate Institute
49,1937-38,Basketball,Jr. Varsity,Boys,Div I,Western Canada
50,1937-38,Basketball,Sr. Varsity,Boys,Div I,Western Canada
51,1937-38,Football,Jr. Varsity,Boys,Div I,St. Mary's College
52,1937-38,Football,Sr. Varsity,Boys,Div I,Crescent Heights
53,1938-39,Basketball,Jr. Varsity,Boys,Div I,Crescent Heights
54,1938-39,Basketball,Sr. Varsity,Boys,Div I,Crescent Heights
55,1938-39,Football,Jr. Varsity,Boys,Div I,Crescent Heights
56,1938-39,Football,Sr. Varsity,Boys,Div I,Western Canada
57,1939-40,Basketball,Jr. Varsity,Boys,Div I,Crescent Heights
58,1939-40,Basketball,Sr. Varsity,Boys,Div I,Crescent Heights
59,1939-40,Football,Jr. Varsity,Boys,Div I,Crescent Heights
60,1939-40,Football,Sr. Varsity,Boys,Div I,Crescent Heights
61,1940-41,Basketball,Jr. Varsity,Boys,Div I,Crescent Heights
62,1940-41,Basketball,Sr. Varsity,Boys,Div I,Crescent Heights
63,1940-41,Football,Jr. Varsity,Boys,Div I,Central Collegiate Institute
64,1940-41,Football,Sr. Varsity,Boys,Div I,Western Canada
65,1941-42,Basketball,Jr. Varsity,Boys,Div I,Western Canada
66,1941-42,Basketball,Sr. Varsity,Boys,Div I,Crescent Heights
67,1941-42,Football,Jr. Varsity,Boys,Div I,Not Awarded
68,1941-42,Football,Sr. Varsity,Boys,Div I,Not Awarded
69,1942-43,Basketball,Jr. Varsity,Boys,Div I,Central Collegiate Institute
70,1942-43,Basketball,Sr. Varsity,Boys,Div I,Crescent Heights
71,1942-43,Football,Jr. Varsity,Boys,Div I,Western Canada
72,1942-43,Football,Sr. Varsity,Boys,Div I,Not Awarded
73,1943-44,Basketball,Jr. Varsity,Boys,Div I,Western Canada
74,1943-44,Basketball,Sr. Varsity,Boys,Div I,Central Collegiate Institute
75,1943-44,Football,Jr. Varsity,Boys,Div I,Western Canada
76,1943-44,Football,Sr. Varsity,Boys,Div I,Not Awarded
77,1944-45,Basketball,Jr. Varsity,Boys,Div I,Central Collegiate Institute
78,1944-45,Basketball,Sr. Varsity,Boys,Div I,Crescent Heights
79,1944-45,Football,Jr. Varsity,Boys,Div I,Not Awarded
80,1944-45,Football,Sr. Varsity,Boys,Div I,Not Awarded
81,1945-46,Basketball,Jr. Varsity,Boys,Div I,Western Canada
82,1945-46,Basketball,Jr. Varsity,Girls,Div I,Western Canada
83,1945-46,Basketball,Sr. Varsity,Boys,Div I,Crescent Heights
84,1945-46,Football,Jr. Varsity,Boys,Div I,Not Awarded
85,1945-46,Football,Sr. Varsity,Boys,Div I,Not Awarded
86,1946-47,Basketball,Jr. Varsity,Boys,Div I,Crescent Heights
87,1946-47,Basketball,Jr. Varsity,Girls,Div I,Western Canada
88,1946-47,Basketball,Sr. Varsity,Boys,Div I,Crescent Heights
89,1946-47,Basketball,Sr. Varsity,Girls,Div I,Central Collegiate Institute
90,1946-47,Football,Jr. Varsity,Boys,Div I,Western Canada
91,1946-47,Football,Sr. Varsity,Boys,Div I,Crescent Heights
92,1947-48,Basketball,Jr. Varsity,Boys,Div I,Not Awarded
93,1947-48,Basketball,Jr. Varsity,Girls,Div I,Western Canada
94,1947-48,Basketball,Sr. Varsity,Boys,Div I,Central Collegiate Institute
95,1947-48,Basketball,Sr. Varsity,Girls,Div I,Not Awarded
96,1947-48,Football,Jr. Varsity,Boys,Div I,Western Canada
97,1947-48,Football,Sr. Varsity,Boys,Div I,"Crescent Heights 
and Western Canada"
98,1948-49,Basketball,Jr. Varsity,Boys,Div I,Central Collegiate Institute
99,1948-49,Basketball,Jr. Varsity,Girls,Div I,Western Canada
100,1948-49,Basketball,Sr. Varsity,Boys,Div I,Western Canada
101,1948-49,Basketball,Sr. Varsity,Girls,Div I,Central Collegiate Institute
102,1948-49,Football,Jr. Varsity,Boys,Div I,Western Canada
103,1948-49,Football,Sr. Varsity,Boys,Div I,St. Mary's
