School Code,School Name,School Address1,School Address2,School City,School Province,School Postal Code,School Phone
0001,Special Centre,10044 - 108 Street,,Edmonton,AB,T5J5E6,
0009,Prairiehome Colony School,6302 - 56 Street,,Taber,AB,T1G1Z9,(403) 222-2075
0011,Spring Valley Colony School,Box 10,,Cardston,AB,T0K0K0,(403) 758-0006
0012,FFCA High School Campus,2116 McKay Road N.W.,,Calgary,AB,T3B1C7,(403) 243-3316
0013,The Chinese Academy,"#191, 1518","
Centre Street N.E.",Calgary,AB,T2E2R9,(403) 777-7663
0014,Tompkins Mennonite School,P.O. Box 988,,La Crete,AB,T0H2H0,(780) 928-2242
0017,Centre High,10050 Macdonald Drive,,Edmonton,AB,T5J2B7,(780) 425-6753
0018,The Academy at King Edward,8525 - 101 Street,,Edmonton,AB,T6E3Z4,(780) 439-1368
0019,Westlock Outreach,"#1, 9919 - 106 Street",,Westlock,AB,T7P2K1,(780) 349-7100
0020,Trinity Learning Centre,405 - 18 Street S.,,Lethbridge,AB,T1J3E5,(403) 327-0714
0021,Webber Academy,1515 - 93 Street SW,,Calgary,AB,T3H4A8,(403) 277-4700
0022,Tween Valley Christian School,P.O. Box 4297,,Taber,AB,T1G2C7,(403) 223-9571
0023,Academy of Learning,Box 100,"
301, 10205 - 101 Street",Edmonton,AB,T5J4H5,(780) 424-1144
0024,Quest High School,8 Page Avenue,,Red Deer,AB,T4P2T2,(403) 343-1354
0026,Ecole Publique Gabrielle-Roy,8728 - 93 Avenue,,Edmonton,AB,T6C1T8,(780) 457-2100
0028,Phoenix Academy,"Centre 170, Suite 145","
10403 - 172 St",Edmonton,AB,T5S1K9,(780) 440-0708
0030,Master's Academy,4414 Crowchild Trail S.W.,,Calgary,AB,T2T5J4,(403) 242-7034
0031,The Third Academy,3311-49 Street SW,,Calgary,AB,T3E6M6,(403) 288-5335
0032,Janus Academy,200 - 403 33 Street NE,,Calgary,AB,T2A1X5,(403) 262-3333
0064,Hilltop Education Centre,Drumheller Institution,"
Box 3000",Drumheller,AB,T0J0Y0,(403) 227-7328
0067,Peace River Correctional Centre,P.O. Bag 900 40,,Peace River,AB,T8S1T4,(780) 624-3811
0095,Private Study,10044 - 108 Street,,Edmonton,AB,T5J5E6,
0098,Harvest Baptist Academy,"26404 Highway 16, West",,Spruce Grove,AB,T7X3H5,(780) 960-0235
0099,Alberta Distance Learning Centre,P.O. Box 4000,"
4601 - 63 Avenue",Barrhead,AB,T7N1P4,(780) 674-5333
0119,Britannia Children's Center,3 Windsor Crescent S.W.,,Calgary,AB,T2V1V4,(403) 255-8664
0123,Irricana Community Hall ECS,P.O. Box 305,,Irricana,AB,T0M1B0,(403) 935-4727
0124,Youngstown School Early Childhood Services,P.O. Box 124,,Youngstown,AB,T0J3P0,(403) 854-6197
0135,Providence Children's Centre,5232 - 4 Street SW,,Calgary,AB,T2V0Z4,(403) 255-5577
0136,Grit Program,12852 141 Street NW,,Edmonton,AB,T5L4N8,(780) 454-9910
0140,Student's Union & Community Day Care Centre,8917 - 112 Street,,Edmonton,AB,T6G2C5,(780) 492-2245
0151,Community Preschool Education,12122-68 Street,,Edmonton,AB,T5B1R1,(780) 455-1818
0167,New Brigden School Portable ECS,Box 414,,Esther,AB,T0J1H0,(403) 664-2490
0170,Milo ECS School,P.O. Box 9,,Milo,AB,T0L1L0,(403) 394-3688
0173,Jasper Place Child Care/ECS Program,16811-88 Avenue-Main Floor,"
Cabrini Centre",Edmonton,AB,T5R5Y6,(780) 489-2243
0179,It Takes a Village Kindergarten,P.O. Box 1116,,Cochrane,AB,T4C1B2,(403) 932-6501
0209,Foothills Creative Beginnings,"#129, 2640-52nd Street NE ",,Calgary,AB,T1Y3R6,(403) 300-5543
0212,Society for Treatment of Autism,404 - 94 Avenue S.E.,,Calgary,AB,T2J0E8,(403) 253-2291
0218,Arrowwood School,Box 238,,Arrowwood,AB,T0L0B0,(403) 534-3825
0230,The PREP Society,2004 - 12 Avenue N.W.,,Calgary,AB,T2N1J7,(403) 282-5011
0234,Champion School ECS,P.O. Box 233,,Champion,AB,T0L0R0,(403) 897-3831
0243,Lethbridge Montessori Kindergarten,Lethbridge Montessori School,"
915 - 6 Street S.",Lethbridge,AB,T1J2E9,(403) 327-5271
0249,Renfrew Educational Services-Janice McTighe Centre,2050 - 21 Street N.E.,,Calgary,AB,T2E6S5,(403) 291-5038
0250,Renfrew Thomas W. Buchanan Centre,2050 - 21 Street N.E.,,Calgary,AB,T2E6S5,(403) 291-5038
0251,University Day Care Centre,450 Campus Place NW,,Calgary,AB,T2N1N4,(403) 210-7682
0254,Montessori School of Calgary,2201 Cliff Street S.W.,,Calgary,AB,T2S2G4,(403) 229-1011
0263,Foothills Alliance ECS,333 Edgepark Boulevard N.W.,,Calgary,AB,T3A4K4,(403) 547-2193
0264,Marlborough Day Nursery Ltd.,200 Rivercrest Dr.  Unit 201,"
",Calgary,AB,T2C2X5,(403) 818-4128
0270,Agape Early Childhood Services,P.O. Box 1780,,Lethbridge,AB,T1J4K4,(403) 320-2772
0274,Cause & Effect Early Intervention Services,"#134, 6170 - 12 Street SE",,Calgary,AB,T2H2X2,(403) 523-0150
0280,Renfrew Educational Services - Child Development Centre,2050 - 21 Street N.E.,,Calgary,AB,T2E6S5,(403) 291-5038
0281,Renfrew Educational Services - Park Place Centre,2050 - 21 Street N.E.,,Calgary,AB,T2E6S5,(403) 291-5038
0284,Getting Ready For Inclusion To,#117- 4615 112th Ave. SE,,Calgary,AB,T2C5J3,(403) 215-2444
0285,The Heartland Agency,P.O. Box 73153,"
Woodbine Postal Outlet",Calgary,AB,T2W6E4,(403) 541-0277
0289,Aspire Special Needs Resource Centre,4826 - 47 Street,,Red Deer,AB,T4N1R2,(403) 340-2606
0290,Horse Lake School,P.O. Box 303,,Hythe,AB,T0H2C0,(780) 356-3101
0297,Oliver Centre,10227 - 118 Street,,Edmonton,AB,T5K2V4,(780) 482-2116
0298,Innisfree School,P.O. Box 85,,Innisfree,AB,T0B2G0,(780) 603-1080
0299,Community Association for Lasting Success,P.O. Box 766,,Vegreville,AB,T9C1R9,(780) 632-3225
